method,dimension,metric,trial,time_ms,status,note
rht,256,end_to_end_ms,14,0.081920,ok,
rht,256,setup_ms,15,0.010240,ok,
rht,256,apply_ms,15,0.028672,ok,
rht,256,end_to_end_ms,15,0.038912,ok,
rht,256,setup_ms,16,0.003936,ok,
rht,256,apply_ms,16,0.028320,ok,
rht,256,end_to_end_ms,16,0.032256,ok,
rht,256,setup_ms,17,0.039936,ok,
rht,256,apply_ms,17,0.040960,ok,
rht,256,end_to_end_ms,17,0.080896,ok,
haar_qr,512,setup_ms,0,2.482784,ok,
haar_qr,512,apply_ms,0,0.026304,ok,
haar_qr,512,end_to_end_ms,0,2.509088,ok,
haar_qr,512,setup_ms,1,2.460672,ok,
haar_qr,512,apply_ms,1,0.020480,ok,
haar_qr,512,end_to_end_ms,1,2.481152,ok,
haar_qr,512,setup_ms,2,2.510848,ok,
haar_qr,512,apply_ms,2,0.020480,ok,
haar_qr,512,end_to_end_ms,2,2.531328,ok,
haar_qr,512,setup_ms,3,2.436000,ok,
haar_qr,512,apply_ms,3,0.011264,ok,
haar_qr,512,end_to_end_ms,3,2.447264,ok,
haar_qr,512,setup_ms,4,2.471360,ok,
haar_qr,512,apply_ms,4,0.012128,ok,
haar_qr,512,end_to_end_ms,4,2.483488,ok,
haar_qr,512,setup_ms,5,2.440032,ok,
haar_qr,512,apply_ms,5,0.011264,ok,
haar_qr,512,end_to_end_ms,5,2.451296,ok,
haar_qr,512,setup_ms,6,2.567168,ok,
haar_qr,512,apply_ms,6,0.012288,ok,
haar_qr,512,end_to_end_ms,6,2.579456,ok,
haar_qr,512,setup_ms,7,2.461696,ok,
haar_qr,512,apply_ms,7,0.011264,ok,
haar_qr,512,end_to_end_ms,7,2.472960,ok,
reflector_chain,512,setup_ms,0,0.021248,ok,
reflector_chain,512,apply_ms,0,0.529024,ok,
reflector_chain,512,end_to_end_ms,0,0.550272,ok,
reflector_chain,512,setup_ms,1,0.021504,ok,
reflector_chain,512,apply_ms,1,0.509664,ok,
reflector_chain,512,end_to_end_ms,1,0.531168,ok,
reflector_chain,512,setup_ms,2,0.014336,ok,
reflector_chain,512,apply_ms,2,0.504672,ok,
reflector_chain,512,end_to_end_ms,2,0.519008,ok,
reflector_chain,512,setup_ms,3,0.021120,ok,
reflector_chain,512,apply_ms,3,0.510528,ok,
reflector_chain,512,end_to_end_ms,3,0.531648,ok,
reflector_chain,512,setup_ms,4,0.020480,ok,
reflector_chain,512,apply_ms,4,0.513024,ok,
reflector_chain,512,end_to_end_ms,4,0.533504,ok,
reflector_chain,512,setup_ms,5,0.021504,ok,
reflector_chain,512,apply_ms,5,0.525120,ok,
reflector_chain,512,end_to_end_ms,5,0.546624,ok,
reflector_chain,512,setup_ms,6,0.021504,ok,
reflector_chain,512,apply_ms,6,0.509600,ok,
reflector_chain,512,end_to_end_ms,6,0.531104,ok,
reflector_chain,512,setup_ms,7,0.021504,ok,
reflector_chain,512,apply_ms,7,0.503808,ok,
reflector_chain,512,end_to_end_ms,7,0.525312,ok,
reflector_chain,512,setup_ms,8,0.032768,ok,
reflector_chain,512,apply_ms,8,1.036864,ok,
reflector_chain,512,end_to_end_ms,8,1.069632,ok,
reflector_chain,512,setup_ms,9,0.030720,ok,
reflector_chain,512,apply_ms,9,0.967712,ok,
reflector_chain,512,end_to_end_ms,9,0.998432,ok,
reflector_chain,512,setup_ms,10,0.035424,ok,
reflector_chain,512,apply_ms,10,0.513024,ok,
reflector_chain,512,end_to_end_ms,10,0.548448,ok,
reflector_chain,512,setup_ms,11,0.014336,ok,
reflector_chain,512,apply_ms,11,0.512000,ok,
reflector_chain,512,end_to_end_ms,11,0.526336,ok,
reflector_chain,512,setup_ms,12,0.020480,ok,
reflector_chain,512,apply_ms,12,0.525312,ok,
reflector_chain,512,end_to_end_ms,12,0.545792,ok,
reflector_chain,512,setup_ms,13,0.021216,ok,
reflector_chain,512,apply_ms,13,0.513024,ok,
reflector_chain,512,end_to_end_ms,13,0.534240,ok,
rht,512,setup_ms,0,0.010016,ok,
rht,512,apply_ms,0,0.051200,ok,
rht,512,end_to_end_ms,0,0.061216,ok,
rht,512,setup_ms,1,0.010240,ok,
rht,512,apply_ms,1,0.063136,ok,
rht,512,end_to_end_ms,1,0.073376,ok,
rht,512,setup_ms,2,0.010240,ok,
rht,512,apply_ms,2,0.028608,ok,
rht,512,end_to_end_ms,2,0.038848,ok,
rht,512,setup_ms,3,0.009216,ok,
rht,512,apply_ms,3,0.014464,ok,
rht,512,end_to_end_ms,3,0.023680,ok,
rht,512,setup_ms,4,0.009920,ok,
rht,512,apply_ms,4,0.044864,ok,
rht,512,end_to_end_ms,4,0.054784,ok,
rht,512,setup_ms,5,0.010240,ok,
rht,512,apply_ms,5,0.029696,ok,
rht,512,end_to_end_ms,5,0.039936,ok,
rht,512,setup_ms,6,0.010240,ok,
rht,512,apply_ms,6,0.014336,ok,
rht,512,end_to_end_ms,6,0.024576,ok,
rht,512,setup_ms,7,0.010048,ok,
rht,512,apply_ms,7,0.041984,ok,
rht,512,end_to_end_ms,7,0.052032,ok,
rht,512,setup_ms,8,0.010240,ok,
rht,512,apply_ms,8,0.028704,ok,
rht,512,end_to_end_ms,8,0.038944,ok,
rht,512,setup_ms,9,0.003072,ok,
rht,512,apply_ms,9,0.038144,ok,
rht,512,end_to_end_ms,9,0.041216,ok,
rht,512,setup_ms,10,0.009984,ok,
rht,512,apply_ms,10,0.030656,ok,
rht,512,end_to_end_ms,10,0.040640,ok,
rht,512,setup_ms,11,0.009984,ok,
rht,512,apply_ms,11,0.053152,ok,
rht,512,end_to_end_ms,11,0.063136,ok,
rht,512,setup_ms,12,0.003904,ok,
rht,512,apply_ms,12,0.037472,ok,
rht,512,end_to_end_ms,12,0.041376,ok,
rht,512,setup_ms,13,0.003776,ok,
rht,512,apply_ms,13,0.028672,ok,
rht,512,end_to_end_ms,13,0.032448,ok,
rht,512,setup_ms,14,0.038752,ok,
rht,512,apply_ms,14,0.041984,ok,
rht,512,end_to_end_ms,14,0.080736,ok,
rht,512,setup_ms,15,0.027648,ok,
rht,512,apply_ms,15,0.049152,ok,
rht,512,end_to_end_ms,15,0.076800,ok,
rht,512,setup_ms,16,0.009952,ok,
rht,512,apply_ms,16,0.030720,ok,
rht,512,end_to_end_ms,16,0.040672,ok,
rht,512,setup_ms,17,0.010240,ok,
rht,512,apply_ms,17,0.078592,ok,
rht,512,end_to_end_ms,17,0.088832,ok,
haar_qr,1024,setup_ms,0,5.724160,ok,
haar_qr,1024,apply_ms,0,0.026624,ok,
haar_qr,1024,end_to_end_ms,0,5.750784,ok,
haar_qr,1024,setup_ms,1,5.662720,ok,
haar_qr,1024,apply_ms,1,0.021120,ok,
